customer_id,join_date,loyalty_tier,age,gender,city,email
1,2025-01-01,None,45,F,Graz,user1@example.com
2,2023-10-09,Platinum,24,F,Bregenz,user2@example.com
3,2024-04-09,Silver,52,F,Linz,user3@example.com
4,2024-03-02,Silver,72,F,Klagenfurt,user4@example.com
5,2025-03-13,None,45,M,Villach,user5@example.com
6,2025-01-28,None,31,F,Vienna,user6@example.com
7,2025-07-05,None,73,F,Salzburg,user7@example.com
8,2023-11-23,Gold,27,F,Villach,user8@example.com
9,2024-07-25,Silver,33,M,Graz,user9@example.com
10,2023-10-12,Silver,33,M,Innsbruck,user10@example.com
11,2024-02-28,None,71,F,Vienna,user11@example.com
12,2024-09-24,Platinum,48,F,Villach,user12@example.com
13,2023-10-10,Gold,59,M,Graz,user13@example.com
14,2024-02-13,None,42,F,Vienna,user14@example.com
15,2025-01-08,None,30,F,Villach,user15@example.com
16,2024-10-23,None,23,F,Innsbruck,user16@example.com
17,2024-02-29,None,61,M,Graz,user17@example.com
18,2024-11-25,Silver,26,F,Klagenfurt,user18@example.com
19,2025-05-05,Silver,62,F,Klagenfurt,user19@example.com
20,2023-09-25,None,53,F,Innsbruck,user20@example.com
21,2025-05-02,Silver,73,M,Linz,user21@example.com
22,2025-02-13,None,60,F,Innsbruck,user22@example.com
23,2024-05-27,None,37,M,Linz,user23@example.com
24,2024-01-12,None,35,F,Graz,user24@example.com
25,2025-08-21,Silver,60,F,Villach,user25@example.com
26,2024-05-24,Gold,74,M,Linz,user26@example.com
27,2023-11-27,None,38,F,Graz,user27@example.com
28,2023-11-30,Silver,21,M,Graz,user28@example.com
29,2025-06-02,Silver,67,M,Bregenz,user29@example.com
30,2024-12-05,None,50,M,Salzburg,user30@example.com
31,2025-05-03,Silver,44,F,Graz,user31@example.com
32,2025-03-08,None,24,M,Linz,user32@example.com
33,2024-10-17,None,23,F,Salzburg,user33@example.com
34,2025-09-02,Gold,32,M,Salzburg,user34@example.com
35,2024-06-24,Platinum,35,M,Graz,user35@example.com
36,2024-10-29,Gold,49,M,Innsbruck,user36@example.com
37,2025-05-20,None,73,F,Innsbruck,user37@example.com
38,2024-12-16,None,28,M,Klagenfurt,user38@example.com
39,2025-06-12,Silver,37,F,Salzburg,user39@example.com
40,2024-11-16,Silver,41,M,Graz,user40@example.com
41,2025-02-17,None,32,F,Bregenz,user41@example.com
42,2023-10-24,Silver,65,F,Innsbruck,user42@example.com
43,2024-03-05,None,24,M,Bregenz,user43@example.com
44,2024-04-19,Gold,38,M,Graz,user44@example.com
45,2023-11-18,None,59,F,Graz,user45@example.com
46,2024-03-09,Silver,43,M,Villach,user46@example.com
47,2023-12-03,None,61,F,Salzburg,user47@example.com
48,2024-04-11,Silver,73,F,Villach,user48@example.com
49,2024-12-29,Silver,31,F,Bregenz,user49@example.com
50,2024-06-14,None,74,F,Villach,user50@example.com
51,2024-06-17,Platinum,54,F,Klagenfurt,user51@example.com
52,2024-02-21,Gold,38,M,Salzburg,user52@example.com
53,2024-04-03,Gold,35,F,Vienna,user53@example.com
54,2025-08-06,Gold,22,F,Villach,user54@example.com
55,2025-01-07,Silver,20,M,Bregenz,user55@example.com
56,2024-12-09,Gold,40,F,Innsbruck,user56@example.com
57,2024-01-24,None,43,F,Innsbruck,user57@example.com
58,2025-03-07,None,54,M,Innsbruck,user58@example.com
59,2024-01-18,None,41,M,Linz,user59@example.com
60,2024-06-24,None,66,M,Graz,user60@example.com
61,2025-09-14,None,36,M,Salzburg,user61@example.com
62,2025-01-01,None,68,M,Innsbruck,user62@example.com
63,2024-11-01,Gold,42,F,Vienna,user63@example.com
64,2025-02-03,None,38,M,Innsbruck,user64@example.com
65,2025-05-29,None,29,F,Klagenfurt,user65@example.com
66,2025-04-11,Silver,74,M,Graz,user66@example.com
67,2024-03-06,None,58,F,Bregenz,user67@example.com
68,2023-10-14,Gold,50,M,Graz,user68@example.com
69,2024-05-08,None,67,F,Villach,user69@example.com
70,2024-04-03,Platinum,70,M,Bregenz,user70@example.com
71,2024-02-22,Gold,21,F,Bregenz,user71@example.com
72,2025-08-11,None,59,M,Villach,user72@example.com
73,2025-06-23,None,74,M,Salzburg,user73@example.com
74,2024-05-08,Gold,24,F,Villach,user74@example.com
75,2025-01-12,Silver,39,M,Linz,user75@example.com
76,2024-07-06,Silver,72,M,Bregenz,user76@example.com
77,2025-07-21,Gold,50,M,Bregenz,user77@example.com
78,2024-08-21,None,34,F,Villach,user78@example.com
79,2024-04-01,None,41,F,Salzburg,user79@example.com
80,2024-03-19,None,51,F,Innsbruck,user80@example.com
81,2024-11-04,Gold,45,F,Klagenfurt,user81@example.com
82,2024-03-31,Silver,60,M,Vienna,user82@example.com
83,2024-11-21,None,58,F,Salzburg,user83@example.com
84,2025-07-09,None,56,M,Linz,user84@example.com
85,2024-07-09,None,39,F,Salzburg,user85@example.com
86,2024-02-28,None,66,M,Graz,user86@example.com
87,2025-09-20,Silver,34,M,Innsbruck,user87@example.com
88,2024-09-27,Silver,51,M,Innsbruck,user88@example.com
89,2023-11-26,Gold,23,F,Bregenz,user89@example.com
90,2023-10-25,Silver,63,F,Innsbruck,user90@example.com
91,2023-12-10,None,23,F,Innsbruck,user91@example.com
92,2024-12-23,Silver,51,F,Villach,user92@example.com
93,2025-04-22,Gold,18,F,Innsbruck,user93@example.com
94,2024-07-26,Silver,27,F,Innsbruck,user94@example.com
95,2023-11-06,Gold,38,F,Vienna,user95@example.com
96,2024-06-26,Silver,22,M,Linz,user96@example.com
97,2025-09-19,Silver,19,F,Bregenz,user97@example.com
98,2024-10-12,Silver,39,F,Villach,user98@example.com
99,2025-08-31,None,65,F,Innsbruck,user99@example.com
100,2025-06-12,None,74,M,Bregenz,user100@example.com
101,2023-09-29,None,19,M,Linz,user101@example.com
102,2025-03-01,Silver,27,M,Villach,user102@example.com
103,2025-02-01,None,51,M,Klagenfurt,user103@example.com
104,2024-10-18,Silver,33,F,Innsbruck,user104@example.com
105,2024-04-03,Gold,65,M,Bregenz,user105@example.com
106,2025-01-02,None,68,F,Salzburg,user106@example.com
107,2023-12-11,Silver,56,F,Villach,user107@example.com
108,2024-08-04,Gold,39,M,Villach,user108@example.com
109,2024-08-18,None,29,M,Bregenz,user109@example.com
110,2025-08-19,None,41,F,Innsbruck,user110@example.com
111,2025-06-23,None,64,M,Graz,user111@example.com
112,2024-03-31,None,57,M,Vienna,user112@example.com
113,2024-09-21,Gold,55,F,Salzburg,user113@example.com
114,2024-01-29,Gold,27,F,Salzburg,user114@example.com
115,2025-07-20,Silver,52,F,Graz,user115@example.com
116,2025-06-19,Gold,68,F,Innsbruck,user116@example.com
117,2024-04-26,Gold,66,F,Villach,user117@example.com
118,2024-12-31,None,49,F,Villach,user118@example.com
119,2024-12-09,Gold,24,F,Vienna,user119@example.com
120,2024-01-10,Silver,38,M,Salzburg,user120@example.com
121,2025-04-01,Gold,37,M,Vienna,user121@example.com
122,2024-10-19,Gold,43,M,Salzburg,user122@example.com
123,2025-04-12,None,21,F,Innsbruck,user123@example.com
124,2024-10-13,None,63,M,Klagenfurt,user124@example.com
125,2023-09-21,None,69,M,Salzburg,user125@example.com
126,2024-05-15,Silver,39,M,Klagenfurt,user126@example.com
127,2023-10-05,Gold,32,F,Salzburg,user127@example.com
128,2025-08-01,Gold,73,M,Villach,user128@example.com
129,2025-06-25,None,57,F,Linz,user129@example.com
130,2025-05-21,Silver,38,F,Innsbruck,user130@example.com
131,2024-05-03,Silver,32,M,Graz,user131@example.com
132,2023-11-02,None,39,M,Klagenfurt,user132@example.com
133,2025-06-24,None,69,F,Graz,user133@example.com
134,2025-08-14,None,45,M,Innsbruck,user134@example.com
135,2023-11-22,Gold,31,M,Bregenz,user135@example.com
136,2024-09-10,None,44,F,Graz,user136@example.com
137,2023-11-10,Silver,58,M,Innsbruck,user137@example.com
138,2025-03-30,Silver,57,F,Villach,user138@example.com
139,2025-04-03,None,45,M,Graz,user139@example.com
140,2023-12-23,Platinum,43,F,Klagenfurt,user140@example.com
141,2024-09-02,Platinum,66,F,Linz,user141@example.com
142,2024-10-27,None,19,M,Graz,user142@example.com
143,2024-04-02,Silver,42,M,Klagenfurt,user143@example.com
144,2025-06-20,None,73,M,Salzburg,user144@example.com
145,2024-07-26,None,20,M,Innsbruck,user145@example.com
146,2024-02-23,None,25,M,Vienna,user146@example.com
147,2024-10-19,Silver,61,M,Bregenz,user147@example.com
148,2025-03-08,Silver,50,M,Villach,user148@example.com
149,2024-02-15,None,59,M,Vienna,user149@example.com
150,2024-05-06,None,69,F,Villach,user150@example.com
151,2025-09-18,Gold,52,M,Innsbruck,user151@example.com
152,2025-01-08,None,23,F,Villach,user152@example.com
153,2024-08-06,None,56,M,Linz,user153@example.com
154,2024-10-03,Silver,69,M,Graz,user154@example.com
155,2023-12-18,Platinum,40,M,Linz,user155@example.com
156,2024-03-03,None,42,M,Vienna,user156@example.com
157,2024-05-25,Silver,67,M,Bregenz,user157@example.com
158,2024-11-24,Gold,60,F,Klagenfurt,user158@example.com
159,2024-03-07,None,36,M,Bregenz,user159@example.com
160,2024-02-29,Silver,22,F,Innsbruck,user160@example.com
161,2023-11-11,None,68,F,Innsbruck,user161@example.com
162,2024-12-25,Silver,28,F,Linz,user162@example.com
163,2024-03-06,Silver,73,M,Klagenfurt,user163@example.com
164,2025-07-14,Silver,29,F,Linz,user164@example.com
165,2025-06-11,None,27,M,Graz,user165@example.com
166,2023-11-11,Gold,25,F,Salzburg,user166@example.com
167,2024-03-13,None,41,F,Klagenfurt,user167@example.com
168,2025-01-22,None,45,F,Salzburg,user168@example.com
169,2024-02-24,None,58,F,Bregenz,user169@example.com
170,2023-12-26,Silver,53,M,Graz,user170@example.com
171,2025-08-05,Silver,54,F,Villach,user171@example.com
172,2024-11-12,None,38,F,Villach,user172@example.com
173,2024-08-31,Silver,25,F,Salzburg,user173@example.com
174,2025-04-17,None,72,F,Vienna,user174@example.com
175,2025-05-04,Silver,26,F,Bregenz,user175@example.com
176,2024-02-07,None,64,F,Salzburg,user176@example.com
177,2023-11-30,Silver,32,M,Graz,user177@example.com
178,2024-08-01,None,65,M,Salzburg,user178@example.com
179,2024-07-27,Gold,63,M,Innsbruck,user179@example.com
180,2024-08-27,None,57,M,Linz,user180@example.com
181,2025-03-07,None,35,F,Vienna,user181@example.com
182,2025-01-25,None,59,F,Innsbruck,user182@example.com
183,2025-09-10,Gold,37,M,Innsbruck,user183@example.com
184,2023-12-02,Gold,23,F,Graz,user184@example.com
185,2024-07-11,None,29,M,Linz,user185@example.com
186,2024-05-26,Silver,19,F,Linz,user186@example.com
187,2025-06-12,Gold,24,F,Klagenfurt,user187@example.com
188,2024-03-21,Silver,33,F,Bregenz,user188@example.com
189,2024-02-07,Silver,20,M,Vienna,user189@example.com
190,2024-08-14,None,62,M,Bregenz,user190@example.com
191,2024-07-25,None,20,M,Graz,user191@example.com
192,2024-04-11,Gold,44,F,Vienna,user192@example.com
193,2024-03-21,Gold,67,F,Klagenfurt,user193@example.com
194,2025-07-27,Silver,60,F,Salzburg,user194@example.com
195,2024-08-10,None,57,F,Innsbruck,user195@example.com
196,2025-06-12,None,55,M,Vienna,user196@example.com
197,2024-10-27,Silver,50,F,Bregenz,user197@example.com
198,2023-10-28,Gold,45,M,Innsbruck,user198@example.com
199,2025-09-21,Gold,18,M,Graz,user199@example.com
200,2025-05-24,Gold,72,F,Bregenz,user200@example.com
201,2025-08-30,Silver,25,M,Salzburg,user201@example.com
202,2025-07-30,None,54,F,Graz,user202@example.com
203,2025-06-03,None,49,F,Villach,user203@example.com
204,2024-01-20,Gold,65,F,Salzburg,user204@example.com
205,2024-09-10,Silver,60,M,Salzburg,user205@example.com
206,2024-02-24,None,54,F,Innsbruck,user206@example.com
207,2024-07-10,None,21,M,Graz,user207@example.com
208,2023-11-02,Silver,47,M,Graz,user208@example.com
209,2024-06-24,None,23,F,Vienna,user209@example.com
210,2025-09-11,None,63,M,Bregenz,user210@example.com
211,2024-04-02,Silver,71,M,Villach,user211@example.com
212,2025-04-16,Silver,36,F,Graz,user212@example.com
213,2024-08-19,Silver,49,F,Vienna,user213@example.com
214,2024-07-26,None,26,M,Villach,user214@example.com
215,2025-08-21,Silver,29,F,Linz,user215@example.com
216,2025-09-18,None,28,M,Linz,user216@example.com
217,2024-10-31,None,63,F,Villach,user217@example.com
218,2025-02-27,Silver,72,F,Linz,user218@example.com
219,2024-01-12,Silver,33,F,Klagenfurt,user219@example.com
220,2024-04-25,Gold,18,F,Graz,user220@example.com
221,2025-08-30,Silver,62,M,Klagenfurt,user221@example.com
222,2024-11-17,Silver,72,F,Bregenz,user222@example.com
223,2024-10-21,None,70,M,Graz,user223@example.com
224,2025-03-21,None,38,M,Vienna,user224@example.com
225,2023-11-01,None,47,M,Klagenfurt,user225@example.com
